UMAP_1	UMAP_2	preliminary_clusters	cluster_annotation	Slc17a6	Slc32a1
9.27902424005444	-5.86348051888873	159	159: Casr/Slc6a2	2.51999796959927	0
-0.0482016089779591	0.123755951095327	73	73: Sema3a/Klhl1	0	0
-1.31849241586749	-2.5709924207442	96	96: Npsr1/Igf1	0	0
2.1599754062074	-2.34298224313189	122	122: Zfp804b/Lncenc1	0.916170748671659	0
8.03732359079297	-2.98377890450885	65	65: Eya1/Hs3st4	0	0
5.575614568271	2.08379202025007	83	83: Agtr1b/Cntnap5b	0	0.964964839640045
-0.0619558128935551	-0.0581465171091715	73	73: Sema3a/Klhl1	0	0
-4.96934020849292	3.41827016012739	148	148: Ccdc172/Ebf2	0.971141851160424	0
-0.603103939018891	-4.90577406747271	115	115: Sema3a/Cdh9	1.31209591988392	0
2.87708460954602	1.1336910022981	35	35: Dmbx1/Cntnap5b	0	0
-7.16985309454028	5.29849295752119	165	165: Hcrtr2/L3mbtl4	0	0.580624215912907
2.48802387384351	-5.85897631509234	173	173: Mecom/Oprk1	0.943850921798971	0
-1.96068251463001	1.52930693762372	108	108: Sema3a/Il1rapl2	0	1.01174411546567
-2.99172962041919	9.53976111548017	117	117: Ebf2/Nmu	0	0
1.52624582914288	-2.71821899278094	30	30: Zfp804b/Npas1	1.21327503278786	0
2.79204713968213	2.52839808600019	124	124: Zfp804b/Dlk1	0.696817278442862	0
-2.26719892355029	-5.96123881204058	50	50: Lhx9/Vwc2l	0.545382603189728	0
-8.42953193517749	-5.75633902413775	177	177: Foxp2/Ano2	0	0
3.82542431024487	1.25264852182935	35	35: Dmbx1/Cntnap5b	0	0
1.99279319909985	-5.37750334603717	123	123: Reln/Pou4f1	2.27872692619724	0
-3.51978028150623	8.77081828253339	117	117: Ebf2/Nmu	0	0
3.76473247674878	1.33843212263654	35	35: Dmbx1/Cntnap5b	0	0
0.12408265513952	5.41139130728315	56	56: Kcnmb2/Sema3a	0	0
1.89558851388867	1.18975393908094	74	74: Rbm20/Nox4	0	0.819615195323492
1.02582597402509	-2.36813540322711	135	135: Zfp804b/Etl4	0	0.328017905101626
-4.85016095968311	4.06698947088788	129	129: Bnc2/Ebf2	0	0
-1.13958621355121	1.79891305105756	96	96: Npsr1/Igf1	0	0
5.97114717630322	-8.6485447393172	111	111: Cartpt/Postn	0.877093604010617	0
-8.16280067297046	4.485543300081	87	87: Col25a1/Nox4	0	0.428075685710267
2.43581854967053	-2.13063425881793	49	49: Ccbe1/Tspan18	0	0
-9.21323192449634	1.48393659727643	179	179: Vmn1r207-ps/Pde11a	0	0
3.0875488486665	1.21512310640882	35	35: Dmbx1/Cntnap5b	0	0.462438412177491
5.29583799508984	-3.11457700593402	143	143: Kcnq5/Hs3st4	0	0
-3.52971709104602	8.6465049280412	117	117: Ebf2/Nmu	0	0
-0.128648314200089	4.86973290579389	59	59: Kcnmb2/Sema3a	0	0
5.73087417749341	-7.41958136422564	76	76: Dbh/Phox2b	0.65094247656987	0
1.61362445024426	-2.98959441049029	30	30: Zfp804b/Npas1	1.50661671369456	0
3.95879280237134	-7.02284617288043	114	114: Tac1/Tafa2	1.93704846870536	0
-1.83252835603778	3.59379534857343	180	180: Cpa6/Cngb3	0	0
-1.18736493917529	-1.37102134091784	82	82: Tal1/Nell1	0	0
-1.98461473318164	3.73327999250959	180	180: Cpa6/Cngb3	0	0
1.29819953111584	-3.99305124146868	28	28: Mecom/Sema3a	0.875702136818141	0
2.57207691339429	-2.96768421990802	62	62: Reln/Calcr	1.26412816217577	0
-0.157220605335877	1.52864222662519	60	60: Trhde/Kcnmb2	0	0
-5.30695855947559	0.231590469051107	156	156: Ankfn1/Pou4f1	0.930999123119333	0
0.027130939491346	1.32300799028943	60	60: Trhde/Kcnmb2	0	0.705211772414763
7.39132463602002	-3.17437810761859	65	65: Eya1/Hs3st4	1.17386521455502	0
4.00041663316663	-5.43851370675494	43	43: Tafa2/Pde1a	1.03153901375363	0
5.29492723611768	5.19559006826948	126	126: Tfap2b/Slc39a8	0.915182167351537	0
-9.19306838842456	1.44986658232282	179	179: Vmn1r207-ps/Pde11a	1.03867959000738	0
5.11447298196729	5.71340565817426	92	92: Pou6f2/Ccbe1	0	0.837886026204857
-0.377795282326386	-1.34964997632434	82	82: Tal1/Nell1	0	0
-0.243204656563446	-8.13934750420977	99	99: Lhx9/Pou6f2	0	0
-8.86263358923022	-7.12521834237506	72	72: Ano2/Foxp2	1.63167008743238	0
-10.6343640122039	-2.47268314225604	107	107: Slc17a7/Sgcg	0.840948632708545	0
-1.30803013177936	-3.02892775399615	88	88: Il1rapl2/Stpg2	1.29570633004373	0
0.146965649403884	4.48012118475507	59	59: Kcnmb2/Sema3a	0	0
-8.87544811101978	-7.09734864098956	72	72: Ano2/Foxp2	1.9828895952738	0
3.10956990388806	-1.86500568253924	67	67: Foxp2/Il1rapl2	0	0.514289458387657
3.34782540468152	-0.58897174460818	95	95: Tfap2b/Esr1	0	0
-0.584895018063233	-5.19406027657916	115	115: Sema3a/Cdh9	0	0
-8.46210849615161	-5.72926373345782	177	177: Foxp2/Ano2	1.51068375741394	0
-1.14511216016834	-1.37061877114703	82	82: Tal1/Nell1	0	0
4.21814977792676	1.84084158079694	91	91: Pax8/Bcl11a	0	0.368258896842515
4.63589107660229	-8.82163758141925	53	53: Gal/Dkk2	1.2146476785902	0
8.02429830697949	-2.73510808808734	65	65: Eya1/Hs3st4	0	0
-5.69809758993213	0.0231467454321226	156	156: Ankfn1/Pou4f1	0.578792649820929	0
2.36358940271313	-2.20954508645465	67	67: Foxp2/Il1rapl2	0	1.01729108929319
-9.31943595739429	-7.03768296105792	72	72: Ano2/Foxp2	1.32913594727994	0
1.86284756330426	-3.38669557435443	137	137: Mecom/Col12a1	1.00848784247656	0
-8.17644298406665	7.87287764685224	46	46: Col18a1/Gpc3	0	0
2.43368875650342	-2.27235288484027	67	67: Foxp2/Il1rapl2	0	0
0.533859517850235	-2.44698138101031	150	150: Nr5a2/Zfp804b	0	0
1.50545191434796	-2.71132845742633	30	30: Zfp804b/Npas1	0	0
-3.1579493317229	11.5134435190446	38	38: Kcnh8/Maf	0	0
0.61585426000531	-3.23243374688555	135	135: Zfp804b/Etl4	0.63506987934434	0.63506987934434
-8.85453784795825	-7.16361470086505	72	72: Ano2/Foxp2	0.695404800984538	0
2.69117247728284	8.8640628351457	41	41: Ryr1/Tfap2b	0.694449720697012	0.694449720697012
5.88063585428174	-2.14149470193316	40	40: Ebf2/Ankfn1	0.94251038870959	0
0.582566108979538	-5.99121279580523	45	45: Prdm16/Zfp804b	0.917883687142397	0
